"Sex","Race","State","Ethnicity","Age Group","First Year","Last Year","Cause of Death","Year","Deaths","Population","Crude Rate","Age-Adjusted Rate"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","2004","32439","292805298","11.08","10.9663293439945"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","2005","32637","295516599","11.04","10.9003738144237"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","2006","33300","298379912","11.16","10.9737686342507"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","2007","34598","301231207","11.49","11.2741901092784"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","2008","36035","304093966","11.85","11.6024838782183"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","2009","36909","306771529","12.03","11.7479334669401"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","2010","38364","308758105","12.43","12.0825292384595"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","2011","39518","311644280","12.68","12.3189309676726"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","2012","40600","313993272","12.93","12.5311445368355"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","2013","41149","316234505","13.01","12.5596090069277"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","2014","42826","318622525","13.44","12.9566163620677"
"Both Sexes","All Races","United States","Both","All Ages","2004","2014","Suicide Injury","","408375","3368051198","12.12","."
